latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
47.64152493,-122.3761504,2,1,1,2,2,2,7,191,97,10,10,10,10,9,10,5,4.96
47.6353107,-122.3635056,4,1,2,2,4,1,15,0,,,,,,,,1,
47.66932717,-122.3925936,6,2.5,3,4,6,4,1125,9,91,9,9,10,10,10,9,1,1.82
47.67407416,-122.3938641,2,1,1,1,2,3,1125,65,98,10,10,10,10,10,10,1,3.94
47.67362807,-122.389302,12,3.5,5,7,1,3,1125,5,96,10,10,10,10,10,9,1,1.38
47.66845996,-122.379516,2,1,1,1,1,1,1125,5,96,10,10,10,10,10,9,1,1.01
47.67066232,-122.3786659,2,1,1,1,0,1,1125,0,,,,,,,,1,
47.67264618,-122.389333,2,1,1,1,1,1,1125,0,,,,,,,,1,
47.67317538,-122.3822596,2,1,1,1,1,1,1125,16,93,9,10,10,10,10,10,1,3.29
47.667933,-122.3786525,4,1,1,4,2,1,1125,23,77,8,8,9,9,9,8,1,3.07
47.67296864,-122.3973382,4,1,2,2,4,2,14,45,97,9,9,10,10,10,9,1,1.44
47.66862742,-122.3894959,2,1,1,1,1,1,1125,75,94,10,9,10,10,10,10,1,3.46
47.67011138,-122.3938693,2,1,1,1,1,2,1125,86,94,9,10,10,10,10,10,1,4.43
47.6716905,-122.3852391,4,1,1,2,2,2,90,151,97,10,10,10,10,10,10,1,3.85
47.67083618,-122.3925371,2,1,1,1,1,1,1125,6,92,10,10,10,10,10,8,1,0.38
47.67088677,-122.3930293,2,1,1,1,1,1,26,16,94,10,10,10,10,10,10,3,3.75
47.67011497,-122.3929944,1,1,1,1,1,1,1125,0,,,,,,,,3,
47.67430793,-122.3767423,4,1,0,2,2,5,1125,0,,,,,,,,1,
47.67125039,-122.3826391,6,1,3,4,4,1,1125,165,95,9,10,10,10,10,9,2,7.84
47.66869206,-122.3960894,2,1.5,1,1,0,3,1125,48,100,10,10,10,10,10,10,1,2.11
47.67180552,-122.3880471,2,0.5,1,1,1,1,1125,0,,,,,,,,2,
47.6714184,-122.3853854,4,1,1,3,1,5,999,2,100,10,10,10,10,10,10,2,0.26
47.66874895,-122.38387,2,1,1,1,1,1,1125,0,,,,,,,,1,
47.67268172,-122.3877307,4,2,2,2,1,2,1125,27,93,10,10,10,10,10,9,1,1.48
47.66968185,-122.3909885,1,1,1,1,1,1,1125,0,,,,,,,,1,
47.67504404,-122.3827149,6,1,2,3,4,5,15,0,,,,,,,,1,
47.66797917,-122.3821054,2,1.5,1,1,2,2,1125,9,98,10,10,10,10,9,9,1,0.3
47.67324985,-122.3873317,4,1,1,3,1,2,1125,0,,,,,,,,2,
47.67553327,-122.376324,7,4,3,3,4,14,60,0,,,,,,,,1,
47.67570811,-122.3875594,5,1.5,2,2,1,1,7,88,95,10,10,10,10,9,9,1,6.07
47.67477103,-122.3858305,2,1,1,1,2,2,1125,10,98,9,10,10,10,10,9,1,1.75
47.66987432,-122.3877174,4,1,1,2,2,1,1125,5,96,10,10,10,10,9,10,1,0.82
47.67097576,-122.3878253,4,2,2,2,1,2,10,10,98,10,10,10,10,10,9,1,0.64
47.67333939,-122.3951203,2,1,1,1,2,2,14,244,97,10,9,10,10,10,10,2,3.64
47.67100489,-122.3813814,8,2.5,3,5,1,3,1125,1,100,10,10,10,10,8,10,31,0.11
47.67170353,-122.3763381,1,1,0,1,1,1,1125,0,,,,,,,,1,
47.67175997,-122.3900201,4,1,1,2,1,3,45,40,98,10,10,10,10,10,10,1,4.05
47.67481867,-122.3875212,2,1,1,1,1,3,1125,2,80,9,10,10,10,10,9,1,0.62
47.67300401,-122.3850048,2,1,1,1,2,1,1125,46,97,10,10,10,10,10,10,1,6.87
47.67039453,-122.393897,6,2.5,3,4,1,1,1125,23,96,10,10,10,10,10,9,1,3.75
47.67582152,-122.3897101,3,1,1,2,2,2,1125,44,98,10,10,10,10,10,10,1,1.55
47.67228446,-122.3823135,2,1,1,1,2,2,35,14,97,10,10,10,10,10,9,1,0.82
47.67227237,-122.3841322,5,1,2,4,1,5,1125,12,100,10,10,10,10,10,10,2,0.77
47.67575024,-122.3765799,6,1.5,3,4,1,4,29,1,100,8,10,10,10,10,8,1,0.09
47.67260212,-122.3884415,2,1,1,1,2,2,28,25,99,10,10,10,10,10,10,1,3.39
47.66676678,-122.3812427,4,1,1,1,4,2,90,35,95,10,9,10,10,10,9,1,1.84
47.67550084,-122.3889063,5,2,2,2,4,1,1125,5,100,10,10,10,10,10,10,2,3.95
47.67575764,-122.3787983,2,1,1,1,2,1,1125,31,95,10,10,10,10,10,10,1,1.89
47.66780059,-122.3883002,2,1,1,2,1,2,1125,7,97,8,10,10,10,10,9,1,1.37
47.66937129,-122.3762878,3,1,1,1,1,2,1125,4,95,10,9,10,10,10,10,1,0.83
